start_date,trough_date,end_date,depth,days_to_trough,days_to_recovery,total_days
2020-02-20,2020-03-23,2020-06-05,-0.3000355187416156,32,74.0,106.0
2024-12-27,2025-04-08,2025-08-13,-0.23522836922809706,102,127.0,229.0
2021-12-28,2022-06-16,2023-06-01,-0.21298777071981756,170,350.0,520.0
2020-09-02,2020-09-23,2020-11-16,-0.10497796570841782,21,54.0,75.0
2023-07-20,2023-10-26,2023-11-20,-0.10238227341144097,98,25.0,123.0
2024-07-17,2024-08-05,2024-08-30,-0.08401287871701854,19,25.0,44.0
2019-04-29,2019-06-03,2019-07-15,-0.079667332141439,35,42.0,77.0
2021-01-26,2021-02-25,2021-04-07,-0.06421786039221697,30,41.0,71.0
2021-04-22,2021-05-12,2021-06-17,-0.06385265082222615,20,36.0,56.0
2024-02-12,2024-04-19,2024-05-09,-0.05991820078091499,67,20.0,87.0
2019-07-24,2019-08-05,2019-08-13,-0.051236276954731055,12,8.0,20.0
2021-09-08,2021-10-04,2021-10-18,-0.050423626566367744,26,14.0,40.0
2020-06-11,2020-06-11,2020-06-18,-0.045520345177510774,0,7.0,7.0
2024-10-22,2024-11-04,2024-11-22,-0.039969093376470484,13,18.0,31.0
2023-12-20,2024-01-05,2024-01-19,-0.03774512821544094,16,14.0,30.0
2024-09-03,2024-09-06,2024-09-27,-0.03705959141765249,3,21.0,24.0
2019-09-12,2019-10-02,2019-10-11,-0.035909870010681126,20,9.0,29.0
2025-11-12,2025-11-20,2025-11-24,-0.03585604755277119,8,4.0,12.0
2025-10-09,2025-10-16,2025-10-24,-0.03496560796151393,7,8.0,15.0
2019-01-03,2019-01-03,2019-01-08,-0.033422828144420304,0,5.0,5.0
2021-12-16,2021-12-20,2021-12-27,-0.03216470837726241,4,7.0,11.0
2020-06-24,2020-06-26,2020-07-03,-0.03133416691631898,2,7.0,9.0
2021-07-15,2021-07-19,2021-07-23,-0.030938441372025005,4,4.0,8.0
2020-11-17,2020-11-23,2020-12-01,-0.030068424959748173,6,8.0,14.0
2019-08-14,2019-08-14,2019-08-20,-0.028645135362415617,0,6.0,6.0
2020-12-29,2021-01-06,2021-01-08,-0.027659099601014214,8,2.0,10.0
2021-11-26,2021-11-26,2021-12-06,-0.024922958212038326,0,10.0,10.0
2019-08-22,2019-08-23,2019-09-04,-0.024853663438190357,1,12.0,13.0
2020-01-24,2020-02-03,2020-02-05,-0.024592216867882873,10,2.0,12.0
2019-02-26,2019-03-08,2019-03-20,-0.023755469792956597,10,12.0,22.0
2024-01-30,2024-01-31,2024-02-06,-0.02323248448849716,1,6.0,7.0
2021-01-11,2021-01-18,2021-01-20,-0.023006223833807057,7,2.0,9.0
2025-08-14,2025-08-21,2025-08-27,-0.022421078450955954,7,6.0,13.0
2024-12-18,2024-12-18,2024-12-24,-0.02238971294271891,0,6.0,6.0
2024-10-01,2024-10-07,2024-10-14,-0.02107613037568395,6,7.0,13.0
2020-07-21,2020-07-23,2020-07-30,-0.019774183830205995,2,7.0,9.0
2019-02-07,2019-02-11,2019-02-20,-0.019492568046282407,4,9.0,13.0
2019-03-22,2019-03-25,2019-04-01,-0.018291356821016087,3,7.0,10.0
2019-10-22,2019-10-22,2019-10-31,-0.0178181814546609,0,9.0,9.0
2019-11-29,2019-12-03,2019-12-06,-0.01753102166156651,4,3.0,7.0
